,arrondissement,date,type,N,farleft,left,green,center,right,other,ville,winner,last_winner,year_weights,unemployment,samplesize_agg,farleft_agg,left_agg,green_agg,center_agg,right_agg,farright_agg
29,6,2009-06-07,european,4745,181,580,1225,408,1878,473,Paris,right,right,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
30,6,2010-03-14,regional,4764,199,1033,880,210,1932,510,Paris,right,right,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
31,6,2012-04-22,president,9410,561,2618,335,1087,4202,607,Paris,right,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
32,6,2012-06-10,legislative,7337,194,2281,325,249,3763,525,Paris,right,right,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
33,6,2014-03-23,municipale,8096,191,2115,539,0,4260,991,Paris,right,right,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
34,6,2014-05-25,european,7811,208,1370,734,1331,2374,1794,Paris,right,right,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
35,6,2015-12-06,regional,8209,230,2298,584,0,3837,1260,Paris,right,right,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
36,6,2017-04-23,president,16540,1509,1051,0,6465,6495,1020,Paris,right,right,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
37,6,2017-06-11,legislative,11788,510,738,566,5203,2559,2212,Paris,center,right,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
38,6,2019-05-25,european,15121,319,939,2460,6759,2277,2367,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
39,7,2007-04-22,president,7599,96,1167,91,1546,4254,445,Paris,right,right,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
40,7,2007-06-10,legislative,5645,74,810,132,594,3592,443,Paris,right,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
41,7,2008-03-09,municipale,5406,0,1228,161,848,2676,493,Paris,right,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
